exam_name,status
2015 AIME I,missing_answer_html
2015 AIME II,missing_answer_html
2016 AIME I,missing_answer_html
2016 AIME II,missing_answer_html
2017 AIME I,missing_answer_html
2017 AIME II,missing_answer_html
2018 AIME I,missing_answer_html
2018 AIME II,missing_answer_html
2019 AIME I,missing_answer_html
2019 AIME II,missing_answer_html
2020 AIME I,missing_answer_html
2020 AIME II,missing_answer_html
2021 AIME I,missing_answer_html
2021 AIME II,missing_answer_html
2022 AIME I,missing_answer_html
2022 AIME II,missing_answer_html
2023 AIME I,missing_answer_html
2023 AIME II,missing_answer_html
2024 AIME I,missing_answer_html
2024 AIME II,missing_answer_html
2025 AIME I,missing_answer_html
2025 AIME II,missing_answer_html
2026 AIME I,missing_answer_html
2026 AIME II,missing_answer_html
2015 AIME I,missing_answer_html
2015 AIME II,missing_answer_html
2016 AIME I,missing_answer_html
2016 AIME II,missing_answer_html
2017 AIME I,missing_answer_html
2017 AIME II,missing_answer_html
2018 AIME I,missing_answer_html
2018 AIME II,missing_answer_html
2019 AIME I,missing_answer_html
2019 AIME II,missing_answer_html
2020 AIME I,missing_answer_html
2020 AIME II,missing_answer_html
2021 AIME I,missing_answer_html
2021 AIME II,missing_answer_html
2022 AIME I,missing_answer_html
2022 AIME II,missing_answer_html
2023 AIME I,missing_answer_html
2023 AIME II,missing_answer_html
2024 AIME I,missing_answer_html
2024 AIME II,missing_answer_html
2025 AIME I,missing_answer_html
2025 AIME II,missing_answer_html
2026 AIME I,missing_answer_html
2026 AIME II,missing_answer_html
2015 AIME I,missing_answer_html
2015 AIME II,missing_answer_html
2016 AIME I,missing_answer_html
2016 AIME II,missing_answer_html
2017 AIME I,missing_answer_html
2017 AIME II,missing_answer_html
2018 AIME I,missing_answer_html
2018 AIME II,missing_answer_html
2019 AIME I,missing_answer_html
2019 AIME II,missing_answer_html
2020 AIME I,fallback_ok_15
2020 AIME II,fallback_ok_15
2021 AIME I,fallback_ok_15
2021 AIME II,fallback_ok_15
2022 AIME I,fallback_ok_15
2022 AIME II,fallback_ok_15
2023 AIME I,fallback_ok_15
2023 AIME II,fallback_ok_15
2024 AIME I,fallback_ok_15
2024 AIME II,fallback_ok_15
2025 AIME I,missing_answer_html
2025 AIME II,fallback_ok_15
2026 AIME I,fallback_ok_15
2026 AIME II,fallback_ok_15
2015 AIME I,missing_answer_html
2015 AIME II,missing_answer_html
2016 AIME I,missing_answer_html
2016 AIME II,missing_answer_html
2017 AIME I,missing_answer_html
2017 AIME II,missing_answer_html
2018 AIME I,missing_answer_html
2018 AIME II,missing_answer_html
2019 AIME I,missing_answer_html
2019 AIME II,missing_answer_html
2020 AIME I,missing_answer_html
2020 AIME II,missing_answer_html
2021 AIME I,missing_answer_html
2021 AIME II,missing_answer_html
2022 AIME I,missing_answer_html
2022 AIME II,missing_answer_html
2023 AIME I,missing_answer_html
2023 AIME II,missing_answer_html
2024 AIME I,missing_answer_html
2024 AIME II,missing_answer_html
2025 AIME I,missing_answer_html
2025 AIME II,missing_answer_html
2026 AIME I,missing_answer_html
2026 AIME II,missing_answer_html
2015 AIME I,missing_answer_html
2015 AIME II,missing_answer_html
2016 AIME I,missing_answer_html
2016 AIME II,missing_answer_html
2017 AIME I,missing_answer_html
2017 AIME II,missing_answer_html
2018 AIME I,missing_answer_html
2018 AIME II,missing_answer_html
2019 AIME I,missing_answer_html
2019 AIME II,missing_answer_html
2020 AIME I,missing_answer_html
2020 AIME II,missing_answer_html
2021 AIME I,missing_answer_html
2021 AIME II,missing_answer_html
2022 AIME I,missing_answer_html
2022 AIME II,missing_answer_html
2023 AIME I,missing_answer_html
2023 AIME II,missing_answer_html
2024 AIME I,missing_answer_html
2024 AIME II,missing_answer_html
2025 AIME I,missing_answer_html
2025 AIME II,missing_answer_html
2026 AIME I,missing_answer_html
2026 AIME II,missing_answer_html
2015 AIME I,missing_answer_html
2015 AIME II,missing_answer_html
2016 AIME I,missing_answer_html
2016 AIME II,missing_answer_html
2017 AIME I,missing_answer_html
2017 AIME II,missing_answer_html
2018 AIME I,missing_answer_html
2018 AIME II,missing_answer_html
2019 AIME I,missing_answer_html
2019 AIME II,missing_answer_html
2020 AIME I,missing_answer_html
2020 AIME II,missing_answer_html
2021 AIME I,missing_answer_html
2021 AIME II,missing_answer_html
2022 AIME I,missing_answer_html
2022 AIME II,missing_answer_html
2023 AIME I,missing_answer_html
2023 AIME II,missing_answer_html
2024 AIME I,missing_answer_html
2024 AIME II,missing_answer_html
2025 AIME I,missing_answer_html
2025 AIME II,missing_answer_html
2026 AIME I,missing_answer_html
2026 AIME II,missing_answer_html
2015 AIME I,ok_root_full_15
2015 AIME II,cloudflare_block
2016 AIME I,cloudflare_block
2016 AIME II,cloudflare_block
2017 AIME I,cloudflare_block
2017 AIME II,cloudflare_block
2018 AIME I,cloudflare_block
2018 AIME II,cloudflare_block
2019 AIME I,cloudflare_block
2019 AIME II,cloudflare_block
2020 AIME I,cloudflare_block
2020 AIME II,cloudflare_block
2021 AIME I,cloudflare_block
2021 AIME II,cloudflare_block
2022 AIME I,cloudflare_block
2022 AIME II,cloudflare_block
2023 AIME I,ok_root_full_15
2023 AIME II,ok_root_full_15
2024 AIME I,ok_root_full_15
2024 AIME II,ok_root_full_15
2025 AIME I,ok_root_full_15
2025 AIME II,ok_root_full_15
2026 AIME I,ok_root_full_15
2026 AIME II,ok_root_full_15
