exam_name,url,status
2015 AIME I,https://artofproblemsolving.com/wiki/index.php/2015_AIME_I_Answer_Key,http_403
2015 AIME II,https://artofproblemsolving.com/wiki/index.php/2015_AIME_II_Answer_Key,http_403
2016 AIME I,https://artofproblemsolving.com/wiki/index.php/2016_AIME_I_Answer_Key,http_403
2016 AIME II,https://artofproblemsolving.com/wiki/index.php/2016_AIME_II_Answer_Key,http_403
2017 AIME I,https://artofproblemsolving.com/wiki/index.php/2017_AIME_I_Answer_Key,http_403
2017 AIME II,https://artofproblemsolving.com/wiki/index.php/2017_AIME_II_Answer_Key,http_403
2018 AIME I,https://artofproblemsolving.com/wiki/index.php/2018_AIME_I_Answer_Key,http_403
2018 AIME II,https://artofproblemsolving.com/wiki/index.php/2018_AIME_II_Answer_Key,http_403
2019 AIME I,https://artofproblemsolving.com/wiki/index.php/2019_AIME_I_Answer_Key,http_403
2019 AIME II,https://artofproblemsolving.com/wiki/index.php/2019_AIME_II_Answer_Key,http_403
2020 AIME I,https://artofproblemsolving.com/wiki/index.php/2020_AIME_I_Answer_Key,http_403
2020 AIME II,https://artofproblemsolving.com/wiki/index.php/2020_AIME_II_Answer_Key,http_403
2021 AIME I,https://artofproblemsolving.com/wiki/index.php/2021_AIME_I_Answer_Key,http_403
2021 AIME II,https://artofproblemsolving.com/wiki/index.php/2021_AIME_II_Answer_Key,http_403
2022 AIME I,https://artofproblemsolving.com/wiki/index.php/2022_AIME_I_Answer_Key,http_403
2022 AIME II,https://artofproblemsolving.com/wiki/index.php/2022_AIME_II_Answer_Key,http_403
